k,x,u,cost
4,0,0,10.0
4,0,1,9.363636363636363
4,0,2,9.090909090909092
4,0,3,9.181818181818182
4,0,4,9.636363636363637
4,0,5,10.454545454545455
4,0,6,11.636363636363637
4,0,7,13.181818181818182
4,0,8,15.090909090909092
4,0,9,17.363636363636363
4,0,10,20.0
4,1,0,8.363636363636363
4,1,1,8.090909090909092
4,1,2,8.181818181818182
4,1,3,8.636363636363637
4,1,4,9.454545454545455
4,1,5,10.636363636363637
4,1,6,12.181818181818182
4,1,7,14.090909090909092
4,1,8,16.363636363636363
4,1,9,19.0
4,1,10,22.0
4,2,0,7.090909090909091
4,2,1,7.181818181818182
4,2,2,7.636363636363637
4,2,3,8.454545454545455
4,2,4,9.636363636363637
4,2,5,11.181818181818182
4,2,6,13.090909090909092
4,2,7,15.363636363636363
4,2,8,18.0
4,2,9,21.0
4,2,10,24.0
4,3,0,6.181818181818182
4,3,1,6.636363636363637
4,3,2,7.454545454545454
4,3,3,8.636363636363637
4,3,4,10.181818181818182
4,3,5,12.090909090909092
4,3,6,14.363636363636363
4,3,7,17.0
4,3,8,20.0
4,3,9,23.0
4,3,10,26.0
4,4,0,5.636363636363637
4,4,1,6.454545454545454
4,4,2,7.636363636363637
4,4,3,9.181818181818182
4,4,4,11.090909090909092
4,4,5,13.363636363636363
4,4,6,16.0
4,4,7,19.0
4,4,8,22.0
4,4,9,25.0
4,4,10,28.0
4,5,0,5.454545454545454
4,5,1,6.636363636363637
4,5,2,8.181818181818182
4,5,3,10.090909090909092
4,5,4,12.363636363636363
4,5,5,15.0
4,5,6,18.0
4,5,7,21.0
4,5,8,24.0
4,5,9,27.0
4,5,10,30.0
4,6,0,5.636363636363637
4,6,1,7.181818181818182
4,6,2,9.090909090909092
4,6,3,11.363636363636363
4,6,4,14.0
4,6,5,17.0
4,6,6,20.0
4,6,7,23.0
4,6,8,26.0
4,6,9,29.0
4,6,10,32.0
4,7,0,6.181818181818182
4,7,1,8.090909090909092
4,7,2,10.363636363636363
4,7,3,13.0
4,7,4,16.0
4,7,5,19.0
4,7,6,22.0
4,7,7,25.0
4,7,8,28.0
4,7,9,31.0
4,7,10,34.0
4,8,0,7.090909090909091
4,8,1,9.363636363636363
4,8,2,12.0
4,8,3,15.0
4,8,4,18.0
4,8,5,21.0
4,8,6,24.0
4,8,7,27.0
4,8,8,30.0
4,8,9,33.0
4,8,10,36.0
4,9,0,8.363636363636363
4,9,1,11.0
4,9,2,14.0
4,9,3,17.0
4,9,4,20.0
4,9,5,23.0
4,9,6,26.0
4,9,7,29.0
4,9,8,32.0
4,9,9,35.0
4,9,10,38.0
4,10,0,10.0
4,10,1,13.0
4,10,2,16.0
4,10,3,19.0
4,10,4,22.0
4,10,5,25.0
4,10,6,28.0
4,10,7,31.0
4,10,8,34.0
4,10,9,37.0
4,10,10,40.0
3,0,0,19.090909090909093
3,0,1,18.363636363636367
3,0,2,17.90909090909091
3,0,3,17.73553719008265
3,0,4,17.87603305785124
3,0,5,18.363636363636367
3,0,6,19.231404958677686
3,0,7,20.51239669421488
3,0,8,22.239669421487605
3,0,9,24.446280991735534
3,0,10,27.165289256198342
3,1,0,17.363636363636367
3,1,1,16.90909090909091
3,1,2,16.73553719008265
3,1,3,16.87603305785124
3,1,4,17.363636363636363
3,1,5,18.231404958677686
3,1,6,19.51239669421488
3,1,7,21.239669421487605
3,1,8,23.446280991735534
3,1,9,26.165289256198342
3,1,10,29.429752066115693
3,2,0,15.909090909090912
3,2,1,15.735537190082646
3,2,2,15.876033057851242
3,2,3,16.363636363636363
3,2,4,17.231404958677686
3,2,5,18.51239669421488
3,2,6,20.239669421487605
3,2,7,22.446280991735538
3,2,8,25.165289256198342
3,2,9,28.429752066115693
3,2,10,31.966942148760328
3,3,0,14.735537190082646
3,3,1,14.876033057851242
3,3,2,15.363636363636363
3,3,3,16.231404958677686
3,3,4,17.51239669421488
3,3,5,19.239669421487605
3,3,6,21.446280991735538
3,3,7,24.165289256198342
3,3,8,27.429752066115693
3,3,9,30.966942148760328
3,3,10,34.776859504132226
3,4,0,13.876033057851242
3,4,1,14.363636363636367
3,4,2,15.231404958677688
3,4,3,16.51239669421488
3,4,4,18.239669421487605
3,4,5,20.446280991735538
3,4,6,23.165289256198346
3,4,7,26.429752066115693
3,4,8,29.966942148760328
3,4,9,33.776859504132226
3,4,10,37.85123966942149
3,5,0,13.363636363636363
3,5,1,14.231404958677688
3,5,2,15.512396694214878
3,5,3,17.239669421487605
3,5,4,19.446280991735538
3,5,5,22.165289256198346
3,5,6,25.429752066115693
3,5,7,28.966942148760328
3,5,8,32.776859504132226
3,5,9,36.85123966942149
3,5,10,41.15702479338843
3,6,0,13.231404958677688
3,6,1,14.512396694214878
3,6,2,16.239669421487605
3,6,3,18.446280991735538
3,6,4,21.165289256198346
3,6,5,24.4297520661157
3,6,6,27.966942148760328
3,6,7,31.77685950413223
3,6,8,35.85123966942148
3,6,9,40.15702479338843
3,6,10,44.66115702479339
3,7,0,13.512396694214878
3,7,1,15.239669421487605
3,7,2,17.446280991735538
3,7,3,20.165289256198346
3,7,4,23.4297520661157
3,7,5,26.966942148760328
3,7,6,30.776859504132233
3,7,7,34.85123966942148
3,7,8,39.15702479338842
3,7,9,43.66115702479339
3,7,10,48.33057851239669
3,8,0,14.239669421487605
3,8,1,16.446280991735538
3,8,2,19.165289256198346
3,8,3,22.4297520661157
3,8,4,25.966942148760328
3,8,5,29.776859504132233
3,8,6,33.85123966942148
3,8,7,38.15702479338842
3,8,8,42.66115702479339
3,8,9,47.33057851239669
3,8,10,52.13223140495868
3,9,0,15.446280991735536
3,9,1,18.165289256198346
3,9,2,21.4297520661157
3,9,3,24.966942148760328
3,9,4,28.776859504132233
3,9,5,32.85123966942148
3,9,6,37.15702479338842
3,9,7,41.66115702479339
3,9,8,46.33057851239669
3,9,9,51.13223140495868
3,9,10,56.03305785123967
3,10,0,17.165289256198346
3,10,1,20.4297520661157
3,10,2,23.966942148760328
3,10,3,27.776859504132233
3,10,4,31.851239669421485
3,10,5,36.15702479338842
3,10,6,40.66115702479339
3,10,7,45.33057851239669
3,10,8,50.13223140495868
3,10,9,55.03305785123967
3,10,10,60.0
2,0,0,27.735537190082653
2,0,1,27.008264462809926
2,0,2,26.55371900826447
2,0,3,26.371900826446282
2,0,4,26.4755822689707
2,0,5,26.896318557475585
2,0,6,27.668670172802408
2,0,7,28.830202854996244
2,0,8,30.42148760330579
2,0,9,32.48610067618333
2,0,10,35.07062359128475
2,1,0,26.00826446280992
2,1,1,25.553719008264466
2,1,2,25.371900826446282
2,1,3,25.475582268970708
2,1,4,25.896318557475585
2,1,5,26.668670172802408
2,1,6,27.830202854996244
2,1,7,29.42148760330579
2,1,8,31.486100676183323
2,1,9,34.07062359128475
2,1,10,37.224643125469576
2,2,0,24.553719008264466
2,2,1,24.371900826446282
2,2,2,24.4755822689707
2,2,3,24.896318557475585
2,2,4,25.668670172802408
2,2,5,26.830202854996244
2,2,6,28.42148760330579
2,2,7,30.486100676183323
2,2,8,33.07062359128475
2,2,9,36.224643125469576
2,2,10,39.700225394440274
2,3,0,23.371900826446282
2,3,1,23.4755822689707
2,3,2,23.896318557475585
2,3,3,24.668670172802408
2,3,4,25.830202854996244
2,3,5,27.42148760330579
2,3,6,29.486100676183323
2,3,7,32.07062359128475
2,3,8,35.224643125469576
2,3,9,38.700225394440274
2,3,10,42.5221637866266
2,4,0,22.4755822689707
2,4,1,22.89631855747559
2,4,2,23.668670172802408
2,4,3,24.830202854996244
2,4,4,26.42148760330579
2,4,5,28.486100676183323
2,4,6,31.070623591284747
2,4,7,34.224643125469576
2,4,8,37.700225394440274
2,4,9,41.5221637866266
2,4,10,45.7145003756574
2,5,0,21.89631855747559
2,5,1,22.668670172802408
2,5,2,23.830202854996244
2,5,3,25.42148760330579
2,5,4,27.486100676183323
2,5,5,30.070623591284747
2,5,6,33.224643125469576
2,5,7,36.700225394440274
2,5,8,40.5221637866266
2,5,9,44.7145003756574
2,5,10,49.2854996243426
2,6,0,21.668670172802408
2,6,1,22.830202854996248
2,6,2,24.42148760330579
2,6,3,26.486100676183323
2,6,4,29.070623591284747
2,6,5,32.224643125469576
2,6,6,35.700225394440274
2,6,7,39.5221637866266
2,6,8,43.7145003756574
2,6,9,48.2854996243426
2,6,10,53.22163786626596
2,7,0,21.830202854996248
2,7,1,23.42148760330579
2,7,2,25.486100676183323
2,7,3,28.070623591284747
2,7,4,31.22464312546958
2,7,5,34.700225394440274
2,7,6,38.5221637866266
2,7,7,42.7145003756574
