p,J_0,J_1,J_2,J_3,J_4,J_5
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375
0.005,0.075,0.075,0.075,0.075,0.075,0.075
0.0075,0.11249999999999999,0.11249999999999999,0.11249999999999999,0.11249999999999999,0.11249999999999999,0.11249999999999999
0.01,0.15,0.15,0.15,0.15,0.15,0.15
0.0125,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
0.015,0.22499999999999998,0.22499999999999998,0.22499999999999998,0.22499999999999998,0.22499999999999998,0.22499999999999998
0.0175,0.2625,0.2625,0.2625,0.2625,0.2625,0.2625
0.02,0.3,0.3,0.3,0.3,0.3,0.3
0.0225,0.33749999999999997,0.33749999999999997,0.33749999999999997,0.33749999999999997,0.33749999999999997,0.33749999999999997
0.025,0.375,0.375,0.375,0.375,0.375,0.375
0.0275,0.4125,0.4125,0.4125,0.4125,0.4125,0.4125
0.03,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.44999999999999996
0.0325,0.48750000000000004,0.48750000000000004,0.48750000000000004,0.48750000000000004,0.48750000000000004,0.48750000000000004
0.035,0.525,0.525,0.525,0.525,0.525,0.525
0.0375,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625
0.04,0.6,0.6,0.6,0.6,0.6,0.6
0.0425,0.6375000000000001,0.6375000000000001,0.6375000000000001,0.6375000000000001,0.6375000000000001,0.6375000000000001
0.045,0.6749999999999999,0.6749999999999999,0.6749999999999999,0.6749999999999999,0.6749999999999999,0.6749999999999999
0.0475,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125
0.05,0.75,0.75,0.75,0.75,0.75,0.75
0.0525,0.7875,0.7875,0.7875,0.7875,0.7875,0.7875
0.055,0.825,0.825,0.825,0.825,0.825,0.825
0.0575,0.8625,0.8625,0.8625,0.8625,0.8625,0.8625
0.06,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999
0.0625,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
0.065,0.9750000000000001,0.9750000000000001,0.9750000000000001,0.9750000000000001,0.9750000000000001,0.9750000000000001
0.0675,1.0125000000000002,1.0125000000000002,1.0125000000000002,1.0125000000000002,1.0125000000000002,1.0125000000000002
0.07,1.05,1.05,1.05,1.05,1.05,1.05
0.0725,1.0875,1.0875,1.0875,1.0875,1.0875,1.0875
0.075,1.125,1.125,1.125,1.125,1.125,1.125
0.0775,1.1625,1.1625,1.1625,1.1625,1.1625,1.1625
0.08,1.2,1.2,1.2,1.2,1.2,1.2
0.0825,1.2375,1.2375,1.2375,1.2375,1.2375,1.2375
0.085,1.2750000000000001,1.2750000000000001,1.2750000000000001,1.2750000000000001,1.2750000000000001,1.2750000000000001
0.08750000000000001,1.3125000000000002,1.3125000000000002,1.3125000000000002,1.3125000000000002,1.3125000000000002,1.3125000000000002
0.09,1.3499999999999999,1.3499999999999999,1.3499999999999999,1.3499999999999999,1.3499999999999999,1.3499999999999999
0.0925,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875
0.095,1.425,1.425,1.425,1.425,1.425,1.425
0.0975,1.4625000000000001,1.4625000000000001,1.4625000000000001,1.4625000000000001,1.4625000000000001,1.4625000000000001
